iter	Passed	Remaining
0	0	24
1	0	20
2	0	22
3	0	20
4	1	19
5	1	19
6	1	18
7	1	18
8	1	17
9	2	23
10	2	22
11	2	21
12	3	21
13	3	20
14	3	20
15	3	20
16	4	19
17	4	19
18	4	18
19	4	18
20	4	18
21	5	17
22	5	17
23	5	16
24	5	16
25	5	16
26	5	16
27	6	15
28	6	15
29	6	15
30	6	14
31	6	14
32	7	14
33	7	14
34	7	13
35	7	13
36	7	13
37	8	13
38	8	13
39	8	12
40	8	12
41	8	12
42	9	11
43	9	11
44	9	11
45	9	11
46	9	11
47	10	10
48	10	10
49	10	10
50	10	10
51	11	10
52	11	9
53	11	9
54	11	9
55	11	9
56	11	9
57	12	8
58	12	8
59	12	8
60	12	8
61	13	8
62	13	7
63	13	7
64	13	7
65	14	7
66	14	7
67	14	6
68	14	6
69	15	6
70	15	6
71	15	5
72	15	5
73	15	5
74	16	5
75	16	5
76	16	4
77	16	4
78	17	4
79	17	4
80	17	4
81	17	3
82	17	3
83	18	3
84	18	3
85	18	3
86	18	2
87	19	2
88	19	2
89	19	2
90	19	1
91	20	1
92	20	1
93	20	1
94	20	1
95	20	0
96	21	0
97	21	0
98	21	0
99	21	0
