iter	Passed	Remaining
0	57	57009
1	57	28595
2	57	19117
3	57	14373
4	57	11534
5	58	9639
6	58	8291
7	58	7277
8	58	6489
9	59	5859
10	59	5341
11	59	4910
12	59	4547
13	60	4232
14	60	3961
15	60	3723
16	60	3515
17	61	3330
18	61	3163
19	61	3012
20	61	2879
21	62	2756
22	62	2643
23	62	2539
24	62	2443
25	62	2354
26	63	2273
27	63	2198
28	63	2127
29	63	2062
30	64	2001
31	64	1943
32	64	1888
33	64	1836
34	64	1790
35	65	1746
36	65	1705
37	65	1665
38	66	1627
39	66	1590
40	66	1556
41	66	1523
42	67	1492
43	67	1462
44	67	1434
45	67	1409
46	68	1382
47	68	1358
48	68	1334
49	69	1313
50	69	1293
51	69	1272
52	70	1252
53	70	1232
54	70	1214
55	70	1195
56	71	1177
57	71	1160
58	71	1142
59	71	1125
60	72	1110
61	72	1094
62	72	1080
63	72	1066
64	73	1052
65	74	1048
66	74	1034
67	74	1021
68	74	1009
69	75	996
70	75	984
71	75	973
72	75	962
73	76	951
74	76	940
75	76	929
76	76	919
77	76	909
78	77	899
79	77	896
80	78	887
81	78	877
82	78	867
83	78	858
84	78	849
85	79	841
86	79	833
87	79	825
88	79	817
89	80	810
90	80	802
91	80	795
92	80	788
93	81	781
94	81	774
95	81	767
96	81	760
97	81	754
98	82	747
99	82	741
100	82	735
101	82	729
102	83	723
103	83	717
104	83	712
105	83	706
106	84	701
107	84	696
108	84	691
109	84	686
110	85	681
111	85	676
112	85	671
113	85	666
114	85	661
115	86	656
116	86	651
117	86	646
118	86	642
119	86	637
120	87	633
121	87	628
122	87	624
123	87	620
124	88	617
125	88	613
126	88	608
127	88	604
128	89	600
129	89	597
130	89	593
131	89	589
132	89	585
133	90	582
134	90	579
135	90	576
136	90	572
137	91	569
138	91	565
139	91	562
140	91	559
141	91	555
142	92	552
143	92	549
144	92	546
145	92	543
146	93	540
147	93	537
148	93	534
149	93	531
150	93	528
151	94	525
152	94	522
153	94	519
154	94	516
155	95	514
156	95	511
157	95	508
158	95	506
159	96	504
160	96	501
161	96	498
162	96	496
163	96	494
164	97	491
165	97	489
166	97	487
167	97	484
168	98	482
169	98	479
170	98	477
171	98	475
172	98	473
173	99	470
174	99	468
175	99	466
176	99	464
177	100	462
178	100	460
179	100	458
180	100	456
181	101	454
182	101	452
183	101	450
184	101	448
185	102	446
186	102	444
187	102	442
188	102	440
189	102	438
190	103	437
191	103	435
192	103	433
193	103	431
194	104	430
195	104	428
196	104	426
197	104	424
198	105	423
199	105	421
200	105	419
201	105	417
202	106	416
203	106	414
204	106	413
205	106	411
206	106	409
207	107	408
208	107	406
209	107	404
210	107	403
211	108	401
212	108	399
213	108	398
214	108	396
215	108	395
216	109	393
